0. Zeile und 0.Spalte, Wert:7693.423472329859 
0. Zeile und 1.Spalte, Wert:7417.460696194772 
0. Zeile und 2.Spalte, Wert:7562.640451063005 
0. Zeile und 3.Spalte, Wert:8310.658665142335 
0. Zeile und 4.Spalte, Wert:7306.60509168556 
0. Zeile und 5.Spalte, Wert:7528.829058176764 
0. Zeile und 6.Spalte, Wert:7513.069768997822 
0. Zeile und 7.Spalte, Wert:7410.788640237469 
0. Zeile und 8.Spalte, Wert:7403.708236575987 
0. Zeile und 9.Spalte, Wert:7561.7534351772865 
0. Zeile und 10.Spalte, Wert:7530.947394203442 
0. Zeile und 11.Spalte, Wert:7369.0608419254095 
0. Zeile und 12.Spalte, Wert:7621.680323793024 
0. Zeile und 13.Spalte, Wert:7480.771283634097 
0. Zeile und 14.Spalte, Wert:7448.77879084223 
0. Zeile und 15.Spalte, Wert:7538.832248016284 
0. Zeile und 16.Spalte, Wert:7450.1888469755695 
0. Zeile und 17.Spalte, Wert:7481.9125330155575 
0. Zeile und 18.Spalte, Wert:7500.3287007496765 
0. Zeile und 19.Spalte, Wert:7478.463177874667 
0. Zeile und 20.Spalte, Wert:7445.399935248253 
1. Zeile und 0.Spalte, Wert:7420.3097089238545 
1. Zeile und 1.Spalte, Wert:7445.997256010964 
1. Zeile und 2.Spalte, Wert:7609.2891479702885 
1. Zeile und 3.Spalte, Wert:8316.43836925575 
1. Zeile und 4.Spalte, Wert:7551.052349807284 
1. Zeile und 5.Spalte, Wert:7380.2073096319145 
1. Zeile und 6.Spalte, Wert:7506.533351483044 
1. Zeile und 7.Spalte, Wert:7522.992271204225 
1. Zeile und 8.Spalte, Wert:7534.146396228001 
1. Zeile und 9.Spalte, Wert:7688.877699973463 
1. Zeile und 10.Spalte, Wert:7408.973173180713 
1. Zeile und 11.Spalte, Wert:7380.770074286069 
1. Zeile und 12.Spalte, Wert:7253.317834229423 
1. Zeile und 13.Spalte, Wert:7371.126659901632 
1. Zeile und 14.Spalte, Wert:7520.584442738812 
1. Zeile und 15.Spalte, Wert:7463.787841440276 
1. Zeile und 16.Spalte, Wert:7535.661791449886 
1. Zeile und 17.Spalte, Wert:7571.082211474604 
1. Zeile und 18.Spalte, Wert:7655.995980566599 
1. Zeile und 19.Spalte, Wert:7546.240477114461 
1. Zeile und 20.Spalte, Wert:7530.596712675613 
2. Zeile und 0.Spalte, Wert:7365.001119942157 
2. Zeile und 1.Spalte, Wert:7372.039367528641 
2. Zeile und 2.Spalte, Wert:7538.176524328961 
2. Zeile und 3.Spalte, Wert:7526.280810297643 
2. Zeile und 4.Spalte, Wert:7555.006652353611 
2. Zeile und 5.Spalte, Wert:7555.13331117869 
2. Zeile und 6.Spalte, Wert:8215.513398181485 
2. Zeile und 7.Spalte, Wert:7490.101955910477 
2. Zeile und 8.Spalte, Wert:7585.272098822838 
2. Zeile und 9.Spalte, Wert:7300.416176713232 
2. Zeile und 10.Spalte, Wert:7481.094328747916 
2. Zeile und 11.Spalte, Wert:7381.000352405753 
2. Zeile und 12.Spalte, Wert:7298.48638735025 
2. Zeile und 13.Spalte, Wert:7294.496334342027 
2. Zeile und 14.Spalte, Wert:7562.050308965078 
2. Zeile und 15.Spalte, Wert:7448.662529229063 
2. Zeile und 16.Spalte, Wert:7442.581640155661 
2. Zeile und 17.Spalte, Wert:7440.484269465397 
2. Zeile und 18.Spalte, Wert:7399.931697212829 
2. Zeile und 19.Spalte, Wert:7459.208283551255 
2. Zeile und 20.Spalte, Wert:7496.7052321589745 
3. Zeile und 0.Spalte, Wert:7170.401524661374 
3. Zeile und 1.Spalte, Wert:7064.67118262488 
3. Zeile und 2.Spalte, Wert:6904.18923083601 
3. Zeile und 3.Spalte, Wert:8325.806741654293 
3. Zeile und 4.Spalte, Wert:6992.216598918386 
3. Zeile und 5.Spalte, Wert:6987.051208574169 
3. Zeile und 6.Spalte, Wert:6923.428478603023 
3. Zeile und 7.Spalte, Wert:7024.05498756255 
3. Zeile und 8.Spalte, Wert:6833.9751270865945 
3. Zeile und 9.Spalte, Wert:7120.654556249387 
3. Zeile und 10.Spalte, Wert:7174.376211076739 
3. Zeile und 11.Spalte, Wert:7124.924034616509 
3. Zeile und 12.Spalte, Wert:7067.260466070601 
3. Zeile und 13.Spalte, Wert:7211.006890042713 
3. Zeile und 14.Spalte, Wert:7196.519484445064 
3. Zeile und 15.Spalte, Wert:6980.5727429332965 
3. Zeile und 16.Spalte, Wert:6888.82902501963 
3. Zeile und 17.Spalte, Wert:7047.7490615332645 
3. Zeile und 18.Spalte, Wert:6957.789391785706 
3. Zeile und 19.Spalte, Wert:6796.057568346994 
3. Zeile und 20.Spalte, Wert:6983.478391268337 
4. Zeile und 0.Spalte, Wert:7014.40967899484 
4. Zeile und 1.Spalte, Wert:7165.1733415081135 
4. Zeile und 2.Spalte, Wert:7322.5355693922065 
4. Zeile und 3.Spalte, Wert:8333.716749067444 
4. Zeile und 4.Spalte, Wert:7351.926795237881 
4. Zeile und 5.Spalte, Wert:7590.563436026458 
4. Zeile und 6.Spalte, Wert:7449.5962227169575 
4. Zeile und 7.Spalte, Wert:7443.85496404418 
4. Zeile und 8.Spalte, Wert:7617.600273148682 
4. Zeile und 9.Spalte, Wert:7409.486210897744 
4. Zeile und 10.Spalte, Wert:7517.561273524075 
4. Zeile und 11.Spalte, Wert:7439.867608588802 
4. Zeile und 12.Spalte, Wert:7458.465929169326 
4. Zeile und 13.Spalte, Wert:7143.834130311458 
4. Zeile und 14.Spalte, Wert:7174.75052148863 
4. Zeile und 15.Spalte, Wert:7243.773211448658 
4. Zeile und 16.Spalte, Wert:7453.895194421153 
4. Zeile und 17.Spalte, Wert:7252.639533301351 
4. Zeile und 18.Spalte, Wert:7377.219130765115 
4. Zeile und 19.Spalte, Wert:7418.1232328298065 
4. Zeile und 20.Spalte, Wert:7313.249566048705 
5. Zeile und 0.Spalte, Wert:8053.758932826552 
5. Zeile und 1.Spalte, Wert:8068.23894520398 
5. Zeile und 2.Spalte, Wert:8149.833354377399 
5. Zeile und 3.Spalte, Wert:8335.342935330287 
5. Zeile und 4.Spalte, Wert:7967.045142210805 
5. Zeile und 5.Spalte, Wert:8051.589020092796 
5. Zeile und 6.Spalte, Wert:8051.400834090964 
5. Zeile und 7.Spalte, Wert:7881.796439694445 
5. Zeile und 8.Spalte, Wert:8177.655181672285 
5. Zeile und 9.Spalte, Wert:8090.36748247672 
5. Zeile und 10.Spalte, Wert:8021.3102074999315 
5. Zeile und 11.Spalte, Wert:7981.033085067285 
5. Zeile und 12.Spalte, Wert:8023.294832015408 
5. Zeile und 13.Spalte, Wert:7994.995084786036 
5. Zeile und 14.Spalte, Wert:7971.458546478598 
5. Zeile und 15.Spalte, Wert:7997.861236483458 
5. Zeile und 16.Spalte, Wert:7992.1963406273735 
5. Zeile und 17.Spalte, Wert:8043.8772340301375 
5. Zeile und 18.Spalte, Wert:8071.593042000277 
5. Zeile und 19.Spalte, Wert:8026.925678884787 
5. Zeile und 20.Spalte, Wert:8065.60945413385 
6. Zeile und 0.Spalte, Wert:8028.052673170893 
6. Zeile und 1.Spalte, Wert:7975.799757790737 
6. Zeile und 2.Spalte, Wert:8039.785562447628 
6. Zeile und 3.Spalte, Wert:8131.385029545041 
6. Zeile und 4.Spalte, Wert:8077.015543408794 
6. Zeile und 5.Spalte, Wert:8291.162804480313 
6. Zeile und 6.Spalte, Wert:8059.1862653400585 
6. Zeile und 7.Spalte, Wert:8052.8099879268475 
6. Zeile und 8.Spalte, Wert:8144.231493116212 
6. Zeile und 9.Spalte, Wert:8018.900686525103 
6. Zeile und 10.Spalte, Wert:8024.824279667134 
6. Zeile und 11.Spalte, Wert:7944.259005901374 
6. Zeile und 12.Spalte, Wert:8024.493088559896 
6. Zeile und 13.Spalte, Wert:7953.056350440352 
6. Zeile und 14.Spalte, Wert:8092.298387561486 
6. Zeile und 15.Spalte, Wert:8011.0360874029375 
6. Zeile und 16.Spalte, Wert:7998.313677240605 
6. Zeile und 17.Spalte, Wert:7811.853137292547 
6. Zeile und 18.Spalte, Wert:7973.487218962486 
6. Zeile und 19.Spalte, Wert:7946.160408944523 
6. Zeile und 20.Spalte, Wert:7981.617467492943 
7. Zeile und 0.Spalte, Wert:7334.9871732230695 
7. Zeile und 1.Spalte, Wert:7621.215222335318 
7. Zeile und 2.Spalte, Wert:7613.751266180462 
7. Zeile und 3.Spalte, Wert:7402.842244000014 
7. Zeile und 4.Spalte, Wert:8291.164487371252 
7. Zeile und 5.Spalte, Wert:7494.822189025491 
7. Zeile und 6.Spalte, Wert:7599.5248221600805 
7. Zeile und 7.Spalte, Wert:7337.064054729661 
7. Zeile und 8.Spalte, Wert:7646.00166139011 
7. Zeile und 9.Spalte, Wert:7316.84984700457 
7. Zeile und 10.Spalte, Wert:7397.237010443814 
7. Zeile und 11.Spalte, Wert:7415.200566100897 
7. Zeile und 12.Spalte, Wert:7510.467178530787 
7. Zeile und 13.Spalte, Wert:7529.663796462673 
7. Zeile und 14.Spalte, Wert:7528.041025649802 
7. Zeile und 15.Spalte, Wert:7424.664676896437 
7. Zeile und 16.Spalte, Wert:7231.857228655536 
7. Zeile und 17.Spalte, Wert:7330.485693009201 
7. Zeile und 18.Spalte, Wert:7428.211565192194 
7. Zeile und 19.Spalte, Wert:7412.399020674281 
7. Zeile und 20.Spalte, Wert:7465.880314413662 
8. Zeile und 0.Spalte, Wert:7291.483918229319 
8. Zeile und 1.Spalte, Wert:7072.1948130882665 
8. Zeile und 2.Spalte, Wert:7158.830773136033 
8. Zeile und 3.Spalte, Wert:8352.221399329444 
8. Zeile und 4.Spalte, Wert:7018.774340629596 
8. Zeile und 5.Spalte, Wert:7030.9098543592245 
8. Zeile und 6.Spalte, Wert:6981.705599819401 
8. Zeile und 7.Spalte, Wert:7438.942311948266 
8. Zeile und 8.Spalte, Wert:6964.649599622029 
8. Zeile und 9.Spalte, Wert:7199.018508970814 
8. Zeile und 10.Spalte, Wert:7385.551924778727 
8. Zeile und 11.Spalte, Wert:7156.779774465267 
8. Zeile und 12.Spalte, Wert:6872.853261776695 
8. Zeile und 13.Spalte, Wert:6904.200177559941 
8. Zeile und 14.Spalte, Wert:6990.311979063732 
8. Zeile und 15.Spalte, Wert:7173.227360418902 
8. Zeile und 16.Spalte, Wert:7199.046028495656 
8. Zeile und 17.Spalte, Wert:7322.930293985303 
8. Zeile und 18.Spalte, Wert:7028.941773143216 
8. Zeile und 19.Spalte, Wert:7047.640506970897 
8. Zeile und 20.Spalte, Wert:7105.446162962708 
9. Zeile und 0.Spalte, Wert:8228.461233230535 
9. Zeile und 1.Spalte, Wert:8277.214219100433 
9. Zeile und 2.Spalte, Wert:8319.618488171795 
9. Zeile und 3.Spalte, Wert:8357.330223764027 
9. Zeile und 4.Spalte, Wert:8302.989699382786 
9. Zeile und 5.Spalte, Wert:8313.337870879062 
9. Zeile und 6.Spalte, Wert:8278.47025566958 
9. Zeile und 7.Spalte, Wert:8293.896179620202 
9. Zeile und 8.Spalte, Wert:8397.231138127181 
9. Zeile und 9.Spalte, Wert:8377.129782527234 
9. Zeile und 10.Spalte, Wert:8349.607003643827 
9. Zeile und 11.Spalte, Wert:8312.86409881117 
9. Zeile und 12.Spalte, Wert:8266.934541174642 
9. Zeile und 13.Spalte, Wert:8229.67408534371 
9. Zeile und 14.Spalte, Wert:8229.942374127711 
9. Zeile und 15.Spalte, Wert:8229.832826876196 
9. Zeile und 16.Spalte, Wert:8231.072508198591 
9. Zeile und 17.Spalte, Wert:8230.632417821364 
9. Zeile und 18.Spalte, Wert:8230.378107812494 
9. Zeile und 19.Spalte, Wert:8230.153091118957 
9. Zeile und 20.Spalte, Wert:8230.426398682319 
10. Zeile und 0.Spalte, Wert:7264.641452558763 
10. Zeile und 1.Spalte, Wert:7334.183714792315 
10. Zeile und 2.Spalte, Wert:7258.61499920421 
10. Zeile und 3.Spalte, Wert:8355.609126619898 
10. Zeile und 4.Spalte, Wert:7230.491742420872 
10. Zeile und 5.Spalte, Wert:7358.962170270327 
10. Zeile und 6.Spalte, Wert:7101.870013669243 
10. Zeile und 7.Spalte, Wert:7317.341562640617 
10. Zeile und 8.Spalte, Wert:7161.118798507514 
10. Zeile und 9.Spalte, Wert:7173.3442691581395 
10. Zeile und 10.Spalte, Wert:7570.638803402896 
10. Zeile und 11.Spalte, Wert:7186.799951005962 
10. Zeile und 12.Spalte, Wert:7473.393910247248 
10. Zeile und 13.Spalte, Wert:7341.105175320473 
10. Zeile und 14.Spalte, Wert:7216.057629858245 
10. Zeile und 15.Spalte, Wert:7487.257683410956 
10. Zeile und 16.Spalte, Wert:7263.761226229866 
10. Zeile und 17.Spalte, Wert:7202.874867917384 
10. Zeile und 18.Spalte, Wert:7299.300796303458 
10. Zeile und 19.Spalte, Wert:7101.438300847729 
10. Zeile und 20.Spalte, Wert:7037.952390603274 
11. Zeile und 0.Spalte, Wert:7357.682020582503 
11. Zeile und 1.Spalte, Wert:7429.397988570102 
11. Zeile und 2.Spalte, Wert:7508.802610009534 
11. Zeile und 3.Spalte, Wert:7432.446066596093 
11. Zeile und 4.Spalte, Wert:7479.8666178725725 
11. Zeile und 5.Spalte, Wert:8321.100224577329 
11. Zeile und 6.Spalte, Wert:7547.977863119814 
11. Zeile und 7.Spalte, Wert:7493.0578592010925 
11. Zeile und 8.Spalte, Wert:7458.337558093767 
11. Zeile und 9.Spalte, Wert:7512.74184819632 
11. Zeile und 10.Spalte, Wert:7652.213266010465 
11. Zeile und 11.Spalte, Wert:7464.25580525205 
11. Zeile und 12.Spalte, Wert:7400.047545433875 
11. Zeile und 13.Spalte, Wert:7495.631932227997 
11. Zeile und 14.Spalte, Wert:7274.53906209524 
11. Zeile und 15.Spalte, Wert:7453.865750898821 
11. Zeile und 16.Spalte, Wert:7616.120154764854 
11. Zeile und 17.Spalte, Wert:7228.175237058823 
11. Zeile und 18.Spalte, Wert:7296.769015411076 
11. Zeile und 19.Spalte, Wert:7592.715170660464 
11. Zeile und 20.Spalte, Wert:7455.80597727167 
12. Zeile und 0.Spalte, Wert:7395.022869794149 
12. Zeile und 1.Spalte, Wert:7368.855776674049 
12. Zeile und 2.Spalte, Wert:7310.368025724042 
12. Zeile und 3.Spalte, Wert:7288.513001204702 
12. Zeile und 4.Spalte, Wert:7350.75583525109 
12. Zeile und 5.Spalte, Wert:7623.299314464484 
12. Zeile und 6.Spalte, Wert:7726.972375938106 
12. Zeile und 7.Spalte, Wert:7400.829344649205 
12. Zeile und 8.Spalte, Wert:8436.714432026012 
12. Zeile und 9.Spalte, Wert:7682.392338886753 
12. Zeile und 10.Spalte, Wert:7589.050952597875 
12. Zeile und 11.Spalte, Wert:7523.7841358043825 
12. Zeile und 12.Spalte, Wert:7446.263236042695 
12. Zeile und 13.Spalte, Wert:7450.702365645326 
12. Zeile und 14.Spalte, Wert:7308.145177263741 
12. Zeile und 15.Spalte, Wert:7279.24336313127 
12. Zeile und 16.Spalte, Wert:7263.260404178716 
12. Zeile und 17.Spalte, Wert:7364.68332465909 
12. Zeile und 18.Spalte, Wert:7659.143853217535 
12. Zeile und 19.Spalte, Wert:7486.702521625531 
12. Zeile und 20.Spalte, Wert:7453.979838786533 
13. Zeile und 0.Spalte, Wert:7502.126326421507 
13. Zeile und 1.Spalte, Wert:7541.110258397096 
13. Zeile und 2.Spalte, Wert:7611.538928693342 
13. Zeile und 3.Spalte, Wert:7492.794754786676 
13. Zeile und 4.Spalte, Wert:7648.77051895193 
13. Zeile und 5.Spalte, Wert:8321.085201069227 
13. Zeile und 6.Spalte, Wert:7624.659924303546 
13. Zeile und 7.Spalte, Wert:7597.793080953268 
13. Zeile und 8.Spalte, Wert:7499.647935555076 
13. Zeile und 9.Spalte, Wert:7626.066786945186 
13. Zeile und 10.Spalte, Wert:7626.521380937046 
13. Zeile und 11.Spalte, Wert:7653.782194415051 
13. Zeile und 12.Spalte, Wert:7571.0699806438 
13. Zeile und 13.Spalte, Wert:7719.692778325519 
13. Zeile und 14.Spalte, Wert:7602.089925587297 
13. Zeile und 15.Spalte, Wert:7634.012664832316 
13. Zeile und 16.Spalte, Wert:7659.1381254982725 
13. Zeile und 17.Spalte, Wert:7556.335412921765 
13. Zeile und 18.Spalte, Wert:7446.605800876345 
13. Zeile und 19.Spalte, Wert:7371.585632187751 
13. Zeile und 20.Spalte, Wert:7675.093750682402 
14. Zeile und 0.Spalte, Wert:7625.383154314804 
14. Zeile und 1.Spalte, Wert:7601.445849824606 
14. Zeile und 2.Spalte, Wert:7618.2390915970645 
14. Zeile und 3.Spalte, Wert:7565.166500519607 
14. Zeile und 4.Spalte, Wert:7598.100727608567 
14. Zeile und 5.Spalte, Wert:7606.125237400687 
14. Zeile und 6.Spalte, Wert:7526.720185841919 
14. Zeile und 7.Spalte, Wert:7640.251441429387 
14. Zeile und 8.Spalte, Wert:8436.43372417686 
14. Zeile und 9.Spalte, Wert:7655.766401242544 
14. Zeile und 10.Spalte, Wert:7558.62602543721 
14. Zeile und 11.Spalte, Wert:7511.2439435856895 
14. Zeile und 12.Spalte, Wert:7659.785088613167 
14. Zeile und 13.Spalte, Wert:7737.885854334174 
14. Zeile und 14.Spalte, Wert:7608.104968769445 
14. Zeile und 15.Spalte, Wert:7643.984266013815 
14. Zeile und 16.Spalte, Wert:7650.100694936585 
14. Zeile und 17.Spalte, Wert:7435.245039246074 
14. Zeile und 18.Spalte, Wert:7341.759250487508 
14. Zeile und 19.Spalte, Wert:7620.573904282242 
14. Zeile und 20.Spalte, Wert:7487.036138975097 
15. Zeile und 0.Spalte, Wert:7207.372749977985 
15. Zeile und 1.Spalte, Wert:7363.107764959215 
15. Zeile und 2.Spalte, Wert:7078.323658431419 
15. Zeile und 3.Spalte, Wert:7055.696688537559 
15. Zeile und 4.Spalte, Wert:7234.037944114887 
15. Zeile und 5.Spalte, Wert:7155.085652012314 
15. Zeile und 6.Spalte, Wert:7148.598429252644 
15. Zeile und 7.Spalte, Wert:7068.032641377434 
15. Zeile und 8.Spalte, Wert:6882.141881567495 
15. Zeile und 9.Spalte, Wert:6969.298392594604 
15. Zeile und 10.Spalte, Wert:8417.211678211595 
15. Zeile und 11.Spalte, Wert:7054.7574950765365 
15. Zeile und 12.Spalte, Wert:7157.867676520267 
15. Zeile und 13.Spalte, Wert:7139.358835825688 
15. Zeile und 14.Spalte, Wert:7176.169632842099 
15. Zeile und 15.Spalte, Wert:7239.003219713412 
15. Zeile und 16.Spalte, Wert:7223.575035363543 
15. Zeile und 17.Spalte, Wert:7033.797071627594 
15. Zeile und 18.Spalte, Wert:7089.2933479570065 
15. Zeile und 19.Spalte, Wert:7208.875019330058 
15. Zeile und 20.Spalte, Wert:7055.198473920718 
16. Zeile und 0.Spalte, Wert:8076.696566074485 
16. Zeile und 1.Spalte, Wert:8114.023465501636 
16. Zeile und 2.Spalte, Wert:8114.160479525078 
16. Zeile und 3.Spalte, Wert:8229.343304688324 
16. Zeile und 4.Spalte, Wert:8155.549408793844 
16. Zeile und 5.Spalte, Wert:8233.827137024295 
16. Zeile und 6.Spalte, Wert:8203.539632188995 
16. Zeile und 7.Spalte, Wert:8232.372498337789 
16. Zeile und 8.Spalte, Wert:8437.799251009454 
16. Zeile und 9.Spalte, Wert:8237.185792725375 
16. Zeile und 10.Spalte, Wert:8265.218485648978 
16. Zeile und 11.Spalte, Wert:8157.502327363019 
16. Zeile und 12.Spalte, Wert:8309.445767723819 
16. Zeile und 13.Spalte, Wert:8211.160149609956 
16. Zeile und 14.Spalte, Wert:8231.479558756835 
16. Zeile und 15.Spalte, Wert:8174.210335930741 
16. Zeile und 16.Spalte, Wert:8201.623400823544 
16. Zeile und 17.Spalte, Wert:8136.869507545273 
16. Zeile und 18.Spalte, Wert:8078.243378435069 
16. Zeile und 19.Spalte, Wert:8079.9469652293765 
16. Zeile und 20.Spalte, Wert:8121.605888427888 
17. Zeile und 0.Spalte, Wert:7546.42115675895 
17. Zeile und 1.Spalte, Wert:7543.975116057146 
17. Zeile und 2.Spalte, Wert:7509.852888925506 
17. Zeile und 3.Spalte, Wert:7543.0506127599865 
17. Zeile und 4.Spalte, Wert:7509.975646662417 
17. Zeile und 5.Spalte, Wert:8321.063579962474 
17. Zeile und 6.Spalte, Wert:7735.608132323155 
17. Zeile und 7.Spalte, Wert:7651.7462814582495 
17. Zeile und 8.Spalte, Wert:7684.603875130691 
17. Zeile und 9.Spalte, Wert:7676.5945307110405 
17. Zeile und 10.Spalte, Wert:7642.928151856539 
17. Zeile und 11.Spalte, Wert:7624.335450691234 
17. Zeile und 12.Spalte, Wert:7602.678329662255 
17. Zeile und 13.Spalte, Wert:7793.9001166785865 
17. Zeile und 14.Spalte, Wert:7724.98695757805 
17. Zeile und 15.Spalte, Wert:7582.771163215564 
17. Zeile und 16.Spalte, Wert:7367.986487012787 
17. Zeile und 17.Spalte, Wert:7763.51977738991 
17. Zeile und 18.Spalte, Wert:7694.459642637918 
17. Zeile und 19.Spalte, Wert:7521.427819269355 
17. Zeile und 20.Spalte, Wert:7581.235290098519 
18. Zeile und 0.Spalte, Wert:7469.078865742372 
18. Zeile und 1.Spalte, Wert:7466.173065062855 
18. Zeile und 2.Spalte, Wert:7575.037833593868 
18. Zeile und 3.Spalte, Wert:7664.242649995322 
18. Zeile und 4.Spalte, Wert:7610.189114596514 
18. Zeile und 5.Spalte, Wert:7636.5293186308145 
18. Zeile und 6.Spalte, Wert:7536.7143489009495 
18. Zeile und 7.Spalte, Wert:7390.216251698684 
18. Zeile und 8.Spalte, Wert:8436.45241348902 
18. Zeile und 9.Spalte, Wert:7452.767632403427 
18. Zeile und 10.Spalte, Wert:7670.406241864668 
18. Zeile und 11.Spalte, Wert:7613.98569134073 
18. Zeile und 12.Spalte, Wert:7616.489386794107 
18. Zeile und 13.Spalte, Wert:7513.743407122014 
18. Zeile und 14.Spalte, Wert:7580.175825865796 
18. Zeile und 15.Spalte, Wert:7577.410391896325 
18. Zeile und 16.Spalte, Wert:7426.620269677395 
18. Zeile und 17.Spalte, Wert:7650.823246030297 
18. Zeile und 18.Spalte, Wert:7683.684579128988 
18. Zeile und 19.Spalte, Wert:7411.602206033224 
18. Zeile und 20.Spalte, Wert:7643.808611291346 
19. Zeile und 0.Spalte, Wert:8009.855311984509 
19. Zeile und 1.Spalte, Wert:8052.49333591073 
19. Zeile und 2.Spalte, Wert:8076.766011669664 
19. Zeile und 3.Spalte, Wert:8119.784906899143 
19. Zeile und 4.Spalte, Wert:8108.64550977154 
19. Zeile und 5.Spalte, Wert:8138.778098389928 
19. Zeile und 6.Spalte, Wert:8105.0575227604295 
19. Zeile und 7.Spalte, Wert:8139.79213738995 
19. Zeile und 8.Spalte, Wert:8269.317455163933 
19. Zeile und 9.Spalte, Wert:8430.70737946085 
19. Zeile und 10.Spalte, Wert:8203.5489190421 
19. Zeile und 11.Spalte, Wert:8125.07962877993 
19. Zeile und 12.Spalte, Wert:8222.159431218523 
19. Zeile und 13.Spalte, Wert:8151.542794905377 
19. Zeile und 14.Spalte, Wert:8215.071156306232 
19. Zeile und 15.Spalte, Wert:8120.642429982736 
19. Zeile und 16.Spalte, Wert:8156.904945028957 
19. Zeile und 17.Spalte, Wert:8105.463710977106 
19. Zeile und 18.Spalte, Wert:8004.925867774147 
19. Zeile und 19.Spalte, Wert:7980.673385822677 
19. Zeile und 20.Spalte, Wert:8044.413389134728 
20. Zeile und 0.Spalte, Wert:7359.865553449031 
20. Zeile und 1.Spalte, Wert:7686.736975842367 
20. Zeile und 2.Spalte, Wert:7531.836060346958 
20. Zeile und 3.Spalte, Wert:7521.130765398792 
20. Zeile und 4.Spalte, Wert:7697.170317265365 
20. Zeile und 5.Spalte, Wert:7548.318954441828 
20. Zeile und 6.Spalte, Wert:7710.893902615481 
20. Zeile und 7.Spalte, Wert:7508.601322671388 
20. Zeile und 8.Spalte, Wert:8436.396877033343 
20. Zeile und 9.Spalte, Wert:7707.068681182844 
20. Zeile und 10.Spalte, Wert:7733.16033858997 
20. Zeile und 11.Spalte, Wert:7570.02527575069 
20. Zeile und 12.Spalte, Wert:7662.042704001154 
20. Zeile und 13.Spalte, Wert:7460.352724328735 
20. Zeile und 14.Spalte, Wert:7520.469847028036 
20. Zeile und 15.Spalte, Wert:7671.548147743591 
20. Zeile und 16.Spalte, Wert:7449.976314278911 
20. Zeile und 17.Spalte, Wert:7539.90749499448 
20. Zeile und 18.Spalte, Wert:7501.60229936366 
20. Zeile und 19.Spalte, Wert:7643.429261684286 
20. Zeile und 20.Spalte, Wert:7451.841402288024 
